Year,India,China,USA
1960,14.7501181,,
1961,15.3538365,,
1962,15.8632981,,
1963,15.7523884,,
1964,14.85074,,
1965,15.0109078,,
1966,14.503993,,
1967,13.2318613,,
1968,13.522788,,
1969,14.1464716,,
1970,14.4565451,,
1971,14.9822867,,
1972,15.1025494,,
1973,15.0152853,,
1974,16.3459134,,
1975,15.8384867,,
1976,16.2658888,,
1977,16.0808689,,
1978,17.0964405,,
1979,17.8520345,,
1980,16.7523758,,
1981,16.7704438,,
1982,16.3699959,,
1983,16.6644547,,
1984,16.7078036,,
1985,16.4180129,,
1986,16.2215838,,
1987,16.2095494,,
1988,16.1015349,,
1989,16.9028459,,
1990,16.5975964,,
1991,15.6762602,,
1992,15.8007998,,
1993,15.9157121,,
1994,16.7641381,,
1995,17.8658506,,
1996,17.5963408,,
1997,16.5185785,,16.08717738
1998,15.719316,,15.77432526
1999,15.1805367,,15.4533061
2000,15.927023,,15.11687846
2001,15.3070213,,13.92241964
2002,15.5587017,,13.44541911
2003,15.5873867,,13.31608311
2004,15.8272457,31.97506997,13.18019043
2005,15.973017,32.09392433,12.99307441
2006,17.3036533,32.45232806,12.99411723
2007,16.8645678,32.38335312,12.78247055
2008,17.0986742,32.1194116,12.25570217
2009,17.1435777,31.59623809,11.73147203
2010,17.0299343,31.61282168,11.93268487
2011,16.1393374,32.06479119,11.95221067
2012,15.816923,31.52857787,11.85220684
2013,15.2530227,30.67100807,11.80679992
2014,15.0655701,30.39644421,11.65242416
2015,15.5838546,28.95167058,11.63367733
2016,15.1622371,28.06944224,11.17131904
2017,15.0182388,28.10893687,11.12900317
2018,14.8532644,27.84101115,11.19770354
2019,13.3274419,26.77472177,10.92624892
2020,12.961685,26.17590672,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,